,Dt_Customer,Age,Marital_Status,total_number_of_children,Income,total_spending,total_number_of_purches,NumDealsPurchases,first_day,day_engaged
410,2012-11-17,32,Single,1,23616,79,8,2,2015-01-01,775
411,2012-09-11,38,relationship,1,53858,915,17,4,2015-01-01,842
412,2013-03-30,59,relationship,1,66465,1485,35,3,2015-01-01,642
413,2012-08-22,27,Single,1,46923,369,16,3,2015-01-01,862
414,2013-01-23,52,relationship,1,75072,1073,19,2,2015-01-01,708
415,2014-03-31,71,relationship,0,75865,1242,19,1,2015-01-01,276
416,2013-11-20,39,relationship,1,19789,78,9,3,2015-01-01,407
417,2014-02-14,20,relationship,0,80134,1378,21,1,2015-01-01,321
418,2013-02-22,33,Single,0,91065,1474,26,1,2015-01-01,678
419,2013-05-03,43,relationship,2,49505,751,29,9,2015-01-01,608
420,2014-06-05,41,relationship,1,37401,48,7,2,2015-01-01,210
421,2014-05-22,31,relationship,1,30096,45,6,1,2015-01-01,224
422,2014-05-06,32,relationship,1,18492,10,4,1,2015-01-01,240
423,2013-04-06,40,relationship,0,82584,1435,16,1,2015-01-01,635
424,2013-04-13,73,relationship,0,93027,2119,22,0,2015-01-01,628
425,2013-04-12,61,relationship,3,48686,20,4,1,2015-01-01,629
426,2014-04-24,28,relationship,0,92910,1795,27,1,2015-01-01,252
427,2014-05-04,25,relationship,1,75433,1188,19,2,2015-01-01,242
428,2014-04-05,25,relationship,1,10404,43,7,2,2015-01-01,271
429,2013-04-25,46,relationship,1,61314,1008,24,2,2015-01-01,616
430,2013-09-05,53,Single,0,84865,1688,16,1,2015-01-01,483
431,2012-10-29,25,relationship,1,42387,684,21,5,2015-01-01,794
432,2013-01-23,47,relationship,2,67309,1082,39,15,2015-01-01,708
433,2013-11-25,50,relationship,1,75236,1068,25,1,2015-01-01,402
434,2014-02-02,44,Single,1,30015,57,7,2,2015-01-01,333
435,2013-06-21,58,relationship,1,50943,46,5,1,2015-01-01,559
436,2013-12-21,48,Single,1,67272,733,23,3,2015-01-01,376
437,2013-07-09,65,Single,1,51529,467,17,2,2015-01-01,541
438,2013-08-22,43,relationship,1,32011,122,10,3,2015-01-01,497
439,2013-07-02,28,relationship,1,7500,36,7,2,2015-01-01,548
440,2013-04-07,25,relationship,1,28691,34,5,1,2015-01-01,634
441,2013-12-20,66,relationship,1,56223,156,10,2,2015-01-01,377
442,2013-06-08,68,relationship,0,18100,14,4,1,2015-01-01,572
443,2012-12-30,25,Single,1,30279,37,5,1,2015-01-01,732
444,2014-03-17,40,relationship,0,20130,34,5,1,2015-01-01,290
445,2013-07-13,55,Single,0,23295,20,4,1,2015-01-01,537
446,2013-09-10,42,Single,1,42618,192,11,2,2015-01-01,478
447,2013-12-29,50,Single,0,81246,1379,17,1,2015-01-01,368
448,2013-09-06,38,relationship,1,24027,48,7,2,2015-01-01,482
449,2013-12-22,61,relationship,1,55707,428,16,2,2015-01-01,375
450,2013-02-05,59,Single,1,57959,868,27,5,2015-01-01,695
451,2013-02-16,45,relationship,1,56796,1001,27,3,2015-01-01,684
452,2013-10-17,43,Single,1,36230,59,7,1,2015-01-01,441
453,2013-01-12,34,relationship,2,70829,431,16,2,2015-01-01,719
454,2012-07-09,38,relationship,1,65991,971,27,3,2015-01-01,906
455,2012-08-20,42,relationship,3,38988,348,19,7,2015-01-01,864
456,2012-09-15,48,Single,0,89572,2059,24,1,2015-01-01,838
457,2013-01-04,30,relationship,1,42207,265,14,4,2015-01-01,727
458,2014-05-25,62,relationship,1,50300,270,13,2,2015-01-01,221
459,2012-09-25,32,relationship,0,66664,1289,19,1,2015-01-01,828
460,2014-01-01,50,relationship,1,60597,893,16,4,2015-01-01,365
461,2013-09-22,65,Single,0,70165,926,22,1,2015-01-01,466
462,2014-01-28,56,Single,1,50520,135,9,2,2015-01-01,338
463,2014-06-26,51,relationship,0,80124,1495,19,1,2015-01-01,189
464,2014-02-24,39,relationship,1,33183,120,9,2,2015-01-01,311
465,2014-03-03,45,Single,0,66582,1288,20,1,2015-01-01,304
466,2013-04-23,59,relationship,0,75261,1743,17,1,2015-01-01,618
467,2012-10-31,44,Single,1,31880,15,4,1,2015-01-01,792
468,2014-06-03,63,relationship,2,53790,542,20,3,2015-01-01,212
469,2012-08-15,43,relationship,1,49269,890,25,3,2015-01-01,869
470,2013-03-27,39,relationship,1,61456,1388,33,4,2015-01-01,645
471,2013-10-10,34,relationship,1,37406,17,4,1,2015-01-01,448
472,2012-04-08,33,relationship,1,56937,906,30,7,2015-01-01,998
473,2013-02-01,36,relationship,2,38415,44,6,2,2015-01-01,699
474,2014-05-18,26,Single,1,20518,25,5,1,2015-01-01,228
475,2013-02-18,58,relationship,1,62503,973,26,4,2015-01-01,682
476,2014-09-05,42,Single,2,41644,31,6,2,2015-01-01,118
477,2014-05-23,37,relationship,1,55842,518,17,1,2015-01-01,223
478,2012-10-23,42,relationship,1,62010,530,19,4,2015-01-01,800
479,2012-10-31,37,relationship,1,41124,506,21,7,2015-01-01,792
480,2013-12-30,41,relationship,1,38961,70,6,1,2015-01-01,367
481,2013-11-08,42,Single,1,37760,54,6,1,2015-01-01,419
482,2012-08-19,40,Single,1,32233,296,12,2,2015-01-01,865
483,2013-10-30,39,relationship,1,43057,266,15,4,2015-01-01,428
484,2012-10-10,54,relationship,0,83151,747,19,1,2015-01-01,813
485,2012-09-14,50,Single,0,78825,895,29,1,2015-01-01,839
486,2013-11-14,38,relationship,1,65104,1053,17,2,2015-01-01,413
487,2013-06-26,40,relationship,1,60093,735,21,2,2015-01-01,554
488,2014-01-26,45,relationship,1,14045,20,5,1,2015-01-01,340
489,2012-10-28,62,Single,0,28457,205,10,1,2015-01-01,795
490,2012-09-24,56,relationship,1,78952,2092,21,2,2015-01-01,829
491,2012-03-12,38,Single,1,46310,309,14,2,2015-01-01,1025
492,2013-02-22,59,relationship,0,76005,1722,22,1,2015-01-01,678
493,2013-12-01,50,Single,1,58308,900,15,4,2015-01-01,396
494,2013-11-27,70,Single,0,55614,682,20,1,2015-01-01,400
495,2013-04-13,52,Single,1,59432,663,22,3,2015-01-01,628
496,2014-05-04,36,Single,1,55563,43,6,1,2015-01-01,242
497,2013-04-21,43,relationship,1,78642,1816,18,1,2015-01-01,620
498,2014-05-22,65,relationship,1,67911,976,27,3,2015-01-01,224
499,2013-03-04,70,relationship,0,65275,746,21,1,2015-01-01,668
500,2012-06-08,64,relationship,2,27203,64,6,2,2015-01-01,937
501,2013-11-15,53,relationship,1,48330,32,5,1,2015-01-01,412
502,2012-12-29,24,relationship,0,24279,263,9,1,2015-01-01,733
503,2012-08-24,29,relationship,1,64355,1445,21,2,2015-01-01,860
504,2013-06-21,58,relationship,1,50943,46,5,1,2015-01-01,559
505,2012-07-11,61,Single,0,53653,1210,28,2,2015-01-01,904
506,2013-02-12,38,relationship,1,65665,945,24,1,2015-01-01,688
507,2013-07-19,25,Single,0,81217,1157,22,1,2015-01-01,531
508,2013-06-21,22,relationship,0,34935,137,8,1,2015-01-01,559
509,2012-12-16,55,Single,1,61250,730,25,6,2015-01-01,746
510,2013-05-25,33,relationship,1,39665,216,12,3,2015-01-01,586
511,2013-03-28,35,Single,1,60152,943,23,1,2015-01-01,644
512,2013-10-20,50,relationship,2,48920,347,16,3,2015-01-01,438
513,2014-03-17,55,relationship,0,89120,1924,19,1,2015-01-01,290
514,2013-11-05,68,relationship,1,44124,397,17,4,2015-01-01,422
515,2013-04-14,39,Single,0,81169,2089,22,1,2015-01-01,627
516,2013-03-02,53,relationship,2,36443,138,11,4,2015-01-01,670
517,2013-06-30,24,Single,1,26095,42,5,1,2015-01-01,550
518,2013-08-23,55,relationship,0,71367,777,17,1,2015-01-01,496
519,2014-01-03,70,relationship,0,80184,1902,20,1,2015-01-01,363
520,2014-01-27,49,Single,2,30630,52,7,2,2015-01-01,339
521,2014-01-03,27,Single,0,73454,1651,13,1,2015-01-01,363
522,2013-08-16,23,relationship,0,42691,358,13,1,2015-01-01,503
523,2012-09-30,61,relationship,0,70503,1727,16,1,2015-01-01,823
524,2012-08-09,27,relationship,1,25545,210,10,3,2015-01-01,875
525,2012-04-12,28,relationship,1,32880,42,5,1,2015-01-01,994
526,2013-11-27,56,relationship,0,77863,1291,20,1,2015-01-01,400
527,2014-08-06,37,relationship,0,50353,442,15,1,2015-01-01,148
528,2012-12-08,50,Single,0,61839,1895,17,1,2015-01-01,754
529,2013-03-11,54,relationship,2,49154,411,19,6,2015-01-01,661
530,2013-02-15,39,Single,1,47682,521,19,4,2015-01-01,685
531,2013-09-18,45,Single,1,72679,1168,17,1,2015-01-01,470
532,2014-06-18,37,relationship,2,57954,493,23,7,2015-01-01,197
533,2013-04-24,52,relationship,2,65316,260,12,2,2015-01-01,617
534,2013-06-17,32,Single,1,28567,46,7,2,2015-01-01,563
535,2013-11-04,63,relationship,1,47352,319,16,4,2015-01-01,423
536,2014-01-18,47,relationship,1,44931,96,7,1,2015-01-01,348
537,2014-02-15,47,Single,0,76982,1062,16,1,2015-01-01,320
538,2013-08-08,62,relationship,1,57247,232,12,2,2015-01-01,511
539,2013-12-23,33,Single,1,22944,76,9,3,2015-01-01,374
540,2013-07-11,37,relationship,1,25315,54,9,3,2015-01-01,539
541,2012-06-08,45,Single,1,43638,201,11,2,2015-01-01,937
542,2012-11-28,30,Single,1,42710,406,14,2,2015-01-01,764
543,2013-07-08,32,relationship,0,84169,1919,20,1,2015-01-01,542
544,2013-04-06,38,relationship,1,54058,662,20,2,2015-01-01,635
545,2014-08-03,24,relationship,1,24683,41,8,2,2015-01-01,151
546,2014-07-01,50,Single,0,85620,1600,14,1,2015-01-01,184
547,2013-03-12,34,relationship,1,47850,134,8,1,2015-01-01,660
548,2014-01-26,46,relationship,2,19514,69,10,4,2015-01-01,340
549,2014-03-29,41,relationship,2,27159,21,6,2,2015-01-01,278
550,2014-03-31,51,Single,2,39548,54,7,2,2015-01-01,276
551,2014-08-04,25,Single,1,21474,91,8,2,2015-01-01,150
552,2014-07-02,43,Single,1,60504,526,18,2,2015-01-01,183
553,2013-04-18,51,relationship,0,22419,162,8,1,2015-01-01,623
554,2013-06-11,65,relationship,0,81698,1008,25,1,2015-01-01,569
555,2012-12-09,62,relationship,2,43462,240,16,6,2015-01-01,753
556,2013-01-03,36,Single,1,54880,795,21,2,2015-01-01,728
557,2013-05-04,32,relationship,0,79908,1772,19,1,2015-01-01,607
558,2013-03-08,44,relationship,0,15315,64,8,2,2015-01-01,664
559,2013-05-22,55,relationship,1,87771,1957,20,1,2015-01-01,589
560,2013-09-09,36,relationship,1,33039,78,7,1,2015-01-01,479
561,2013-06-16,34,Single,0,81741,1572,19,0,2015-01-01,564
562,2013-06-25,43,relationship,1,71499,795,26,2,2015-01-01,555
563,2014-01-15,44,relationship,1,62466,889,26,5,2015-01-01,351
564,2013-05-11,51,Single,1,48799,331,15,3,2015-01-01,600
565,2014-07-06,64,relationship,1,52157,265,12,2,2015-01-01,179
566,2012-05-12,52,Single,1,66565,1065,19,4,2015-01-01,964
567,2013-07-09,63,relationship,2,29298,11,4,1,2015-01-01,541
568,2013-05-07,35,Single,1,47691,21,4,1,2015-01-01,604
569,2012-07-12,44,relationship,2,38200,17,4,1,2015-01-01,903
570,2012-12-09,40,relationship,1,44989,369,16,5,2015-01-01,753
571,2014-01-27,46,relationship,2,38443,38,6,2,2015-01-01,339
572,2013-09-13,36,Single,1,38593,177,11,3,2015-01-01,475
573,2013-01-08,44,relationship,1,64413,279,12,1,2015-01-01,723
574,2013-02-10,33,relationship,1,36959,62,7,2,2015-01-01,690
575,2013-01-31,37,relationship,1,61996,1230,21,3,2015-01-01,700
576,2014-01-04,46,relationship,2,51287,182,11,3,2015-01-01,362
577,2013-08-23,44,relationship,2,13260,49,10,4,2015-01-01,496
578,2013-09-16,48,relationship,2,47472,75,8,2,2015-01-01,472
579,2013-09-07,58,relationship,2,54603,227,16,6,2015-01-01,481
580,2012-10-11,40,relationship,2,45207,215,15,5,2015-01-01,812
581,2013-03-18,63,relationship,1,40689,444,20,7,2015-01-01,654
582,2013-10-20,47,relationship,2,47821,47,5,1,2015-01-01,438
583,2013-04-15,63,relationship,0,27450,143,7,1,2015-01-01,626
584,2014-03-04,31,relationship,1,39453,55,7,2,2015-01-01,303
585,2014-04-18,43,relationship,2,26850,63,11,4,2015-01-01,258
586,2012-09-23,59,Single,0,79800,1867,22,1,2015-01-01,830
587,2013-09-14,53,relationship,1,61794,611,20,2,2015-01-01,474
588,2014-05-17,59,relationship,1,53863,473,18,3,2015-01-01,229
589,2013-08-20,55,relationship,0,24221,55,6,1,2015-01-01,499
590,2012-12-10,30,Single,1,39684,81,7,2,2015-01-01,752
591,2012-12-12,39,relationship,0,92163,2086,21,0,2015-01-01,750
592,2013-10-11,49,Single,0,69882,1478,20,1,2015-01-01,447
593,2014-01-30,37,relationship,1,33178,49,5,1,2015-01-01,336
594,2013-11-09,42,relationship,0,59973,382,15,1,2015-01-01,418
595,2013-09-19,39,relationship,1,17459,69,9,3,2015-01-01,469
596,2012-10-26,45,Single,1,23910,67,6,1,2015-01-01,797
597,2013-10-19,45,relationship,2,42169,30,6,2,2015-01-01,439
598,2013-04-06,36,relationship,1,26224,63,9,3,2015-01-01,635
599,2012-08-17,33,relationship,1,31089,79,10,3,2015-01-01,867
600,2013-02-21,53,Single,1,30081,42,5,1,2015-01-01,679
601,2012-08-31,54,relationship,1,62807,819,23,3,2015-01-01,853
602,2013-09-17,59,Single,0,72906,1151,17,1,2015-01-01,471
603,2012-09-12,66,relationship,2,61467,594,20,3,2015-01-01,841
604,2013-01-26,48,relationship,2,49618,129,11,4,2015-01-01,705
605,2012-12-29,28,Single,1,21888,213,12,4,2015-01-01,733
606,2014-11-02,41,Single,1,42429,67,7,2,2015-01-01,60
607,2013-11-03,58,Single,3,26150,28,5,1,2015-01-01,424
608,2012-10-26,39,relationship,1,30801,45,6,2,2015-01-01,797
609,2014-07-05,49,relationship,0,81168,1193,18,1,2015-01-01,180
610,2013-08-19,45,Single,0,26877,268,12,2,2015-01-01,500
611,2013-07-18,70,Single,0,45006,266,12,1,2015-01-01,532
612,2012-11-12,41,relationship,1,18978,37,5,1,2015-01-01,780
613,2013-10-28,47,relationship,3,22574,37,7,2,2015-01-01,430
614,2012-09-11,45,Single,0,48240,882,25,3,2015-01-01,842
615,2013-07-26,40,relationship,2,45837,373,18,5,2015-01-01,524
616,2013-06-05,49,Single,3,35791,35,6,2,2015-01-01,575
617,2013-03-06,38,relationship,2,162397,107,1,0,2015-01-01,666
618,2013-03-18,36,Single,2,54162,42,5,1,2015-01-01,654
619,2012-08-17,54,relationship,1,30522,326,17,5,2015-01-01,867
620,2013-11-07,53,relationship,1,54456,404,17,3,2015-01-01,420
621,2013-07-14,43,Single,0,31632,95,6,1,2015-01-01,536
622,2014-10-03,65,Single,0,72298,939,14,1,2015-01-01,90
623,2013-12-28,36,Single,1,36975,33,5,1,2015-01-01,369
624,2013-03-06,59,relationship,0,72635,981,21,1,2015-01-01,666
625,2013-01-20,38,relationship,1,13624,36,7,2,2015-01-01,711
626,2013-03-06,39,Single,1,84196,1237,20,1,2015-01-01,666
627,2012-09-21,54,relationship,1,70971,1825,34,7,2015-01-01,832
628,2012-06-09,37,Single,2,34487,103,9,3,2015-01-01,936
629,2012-12-18,37,Single,1,28769,191,12,3,2015-01-01,744
630,2013-11-19,44,relationship,1,69084,1586,25,2,2015-01-01,408
631,2014-06-13,56,relationship,0,65488,963,14,1,2015-01-01,202
632,2014-01-15,44,relationship,1,62466,889,26,5,2015-01-01,351
633,2014-02-15,54,Single,0,32218,93,7,1,2015-01-01,320
634,2013-04-18,41,Single,0,83917,1587,21,1,2015-01-01,623
635,2014-10-03,52,Single,3,46102,16,4,1,2015-01-01,90
636,2013-04-06,62,Single,0,84574,1375,32,1,2015-01-01,635
637,2013-08-01,52,relationship,1,56181,393,14,1,2015-01-01,518
638,2012-09-28,64,Single,1,63120,1477,26,5,2015-01-01,825
639,2013-06-11,43,relationship,1,73691,1179,18,2,2015-01-01,569
640,2012-05-10,54,relationship,1,63381,1005,26,4,2015-01-01,966
641,2014-05-13,66,relationship,0,76140,1348,21,1,2015-01-01,233
642,2012-12-30,55,Single,1,62859,1307,23,4,2015-01-01,732
643,2013-07-05,50,Single,1,45906,486,15,2,2015-01-01,545
644,2013-10-03,67,relationship,0,77632,2252,13,1,2015-01-01,455
645,2013-08-18,43,relationship,2,46463,235,17,7,2015-01-01,501
646,2013-01-21,44,relationship,0,105471,1724,30,0,2015-01-01,710
647,2013-12-13,44,Single,1,55282,235,11,1,2015-01-01,384
648,2014-05-23,37,relationship,1,78710,1092,28,3,2015-01-01,223
649,2013-09-16,56,relationship,1,66886,599,17,2,2015-01-01,472
650,2014-02-17,54,Single,0,98777,2008,19,0,2015-01-01,318
651,2012-08-27,29,relationship,1,29103,48,6,2,2015-01-01,857
652,2012-12-08,40,relationship,1,67445,1174,32,5,2015-01-01,754
653,2014-04-13,64,relationship,1,50616,67,7,1,2015-01-01,263
654,2012-03-08,59,Single,1,49431,365,15,2,2015-01-01,1029
655,2014-07-02,39,Single,0,153924,6,0,0,2015-01-01,183
656,2014-04-01,61,relationship,1,61278,165,10,2,2015-01-01,275
657,2012-09-22,56,relationship,0,26490,210,11,2,2015-01-01,831
658,2013-08-31,67,relationship,1,73059,1095,26,1,2015-01-01,488
659,2013-10-21,48,Single,3,46734,223,12,4,2015-01-01,437
660,2012-07-12,51,relationship,1,56253,597,22,4,2015-01-01,903
661,2013-11-14,29,relationship,1,19986,22,4,1,2015-01-01,413
662,2013-12-25,39,Single,1,58330,1064,24,1,2015-01-01,372
663,2012-07-09,34,relationship,0,25965,74,6,1,2015-01-01,906
664,2013-01-01,58,relationship,0,14661,26,5,1,2015-01-01,730
665,2012-12-28,55,relationship,0,18690,60,5,1,2015-01-01,734
666,2013-05-16,40,relationship,1,45068,20,4,1,2015-01-01,595
667,2013-09-25,27,Single,1,21063,59,7,2,2015-01-01,463
668,2013-09-05,46,relationship,1,29187,34,5,1,2015-01-01,483
669,2013-07-11,43,relationship,2,54690,198,12,3,2015-01-01,539
670,2013-07-29,50,relationship,1,59304,1048,28,3,2015-01-01,521
671,2013-08-11,52,Single,2,59247,574,21,5,2015-01-01,508
672,2012-12-09,44,Single,1,66731,1029,17,4,2015-01-01,753
673,2013-12-16,34,relationship,1,77353,670,20,2,2015-01-01,381
674,2012-01-12,39,Single,1,52614,990,16,2,2015-01-01,1085
675,2014-05-22,40,relationship,2,26751,11,4,1,2015-01-01,224
676,2012-10-30,51,relationship,1,81300,1241,21,3,2015-01-01,793
677,2014-02-01,35,Single,0,70337,576,17,1,2015-01-01,334
678,2013-06-16,29,relationship,1,36145,172,12,4,2015-01-01,564
679,2013-12-23,34,Single,0,65295,664,20,1,2015-01-01,374
680,2013-10-18,51,Single,1,68118,928,23,2,2015-01-01,440
681,2012-08-30,47,Single,0,68743,2074,30,1,2015-01-01,854
682,2013-07-25,32,relationship,0,41039,467,15,1,2015-01-01,525
683,2013-10-24,59,relationship,1,38946,257,12,2,2015-01-01,434
684,2013-12-19,47,relationship,0,65777,1146,17,1,2015-01-01,378
685,2013-07-03,38,Single,1,66476,689,20,2,2015-01-01,547
686,2012-12-09,42,Single,0,86857,2114,22,1,2015-01-01,753
687,2012-04-08,32,relationship,0,160803,1717,44,15,2015-01-01,998
688,2014-05-16,25,relationship,0,77845,1346,21,1,2015-01-01,230
689,2013-09-30,45,relationship,0,69476,1044,15,1,2015-01-01,458
690,2012-04-10,54,Single,1,50611,493,22,6,2015-01-01,996
691,2013-08-25,44,Single,0,61209,957,13,1,2015-01-01,494
692,2013-12-07,56,relationship,1,42315,270,12,3,2015-01-01,390
693,2013-02-11,62,relationship,0,13084,29,5,1,2015-01-01,689
694,2013-05-29,65,Single,2,47570,121,9,3,2015-01-01,582
695,2013-07-26,53,relationship,2,61923,126,8,1,2015-01-01,524
696,2014-03-26,19,Single,0,34824,23,4,1,2015-01-01,281
697,2013-08-04,65,Single,2,26518,57,8,3,2015-01-01,515
698,2013-03-11,53,Single,0,45938,636,20,2,2015-01-01,661
699,2014-09-04,54,relationship,0,78468,1004,28,1,2015-01-01,119
700,2013-09-17,41,Single,1,78901,734,20,3,2015-01-01,471
701,2014-12-03,36,relationship,2,71427,614,20,2,2015-01-01,29
702,2014-11-02,36,Single,1,71022,1453,21,3,2015-01-01,60
703,2014-04-29,26,Single,0,90247,1621,15,1,2015-01-01,247
704,2013-12-26,46,Single,1,41335,187,12,3,2015-01-01,371
705,2013-10-01,28,relationship,1,71952,1443,22,2,2015-01-01,457
706,2014-06-27,44,Single,1,35682,57,6,1,2015-01-01,188
707,2013-10-04,63,Single,1,43185,637,20,2,2015-01-01,454
708,2013-11-21,66,relationship,1,66375,948,14,3,2015-01-01,406
709,2013-10-01,43,relationship,1,35178,59,5,1,2015-01-01,457
710,2013-12-07,28,relationship,1,25252,18,4,1,2015-01-01,390
711,2012-10-21,49,Single,1,55250,903,26,4,2015-01-01,802
712,2013-02-20,39,Single,1,33249,112,8,2,2015-01-01,680
713,2013-05-14,61,relationship,0,58398,596,20,3,2015-01-01,597
714,2013-07-08,32,relationship,1,50272,233,13,3,2015-01-01,542
715,2012-07-12,39,relationship,0,76618,1511,11,1,2015-01-01,903
716,2012-09-23,54,Single,0,87305,1152,17,1,2015-01-01,830
717,2013-11-02,36,relationship,1,25851,48,7,2,2015-01-01,425
718,2013-03-31,44,Single,1,58710,1185,31,6,2015-01-01,641
719,2014-03-29,56,Single,2,45160,21,4,1,2015-01-01,278
720,2012-12-19,49,relationship,1,74806,965,16,2,2015-01-01,743
721,2013-02-05,60,relationship,0,59111,869,21,1,2015-01-01,695
722,2014-05-23,30,relationship,1,18988,16,6,2,2015-01-01,223
723,2013-02-13,49,relationship,0,72190,1947,16,1,2015-01-01,687
724,2012-01-08,38,relationship,1,7500,71,12,5,2015-01-01,1089
725,2014-08-06,48,relationship,1,44794,65,6,1,2015-01-01,148
726,2013-11-23,59,relationship,0,80395,1380,24,1,2015-01-01,404
727,2014-01-25,38,Single,0,75012,1027,23,1,2015-01-01,341
728,2013-11-10,49,relationship,3,56962,411,21,7,2015-01-01,417
729,2013-04-15,23,relationship,0,89891,836,26,1,2015-01-01,626
730,2013-09-27,65,Single,2,35946,11,4,1,2015-01-01,461
731,2012-07-08,61,relationship,2,53593,480,23,8,2015-01-01,907
732,2013-12-06,36,relationship,2,66373,606,23,7,2015-01-01,391
733,2013-10-16,66,Single,3,45072,284,16,5,2015-01-01,442
734,2013-09-10,41,Single,2,89694,1472,14,3,2015-01-01,478
735,2014-04-29,65,relationship,0,72025,1677,26,1,2015-01-01,247
736,2013-03-29,41,relationship,1,67432,1335,19,2,2015-01-01,643
737,2014-03-06,62,relationship,1,70545,334,13,1,2015-01-01,301
738,2013-03-18,25,relationship,1,17487,18,4,1,2015-01-01,654
739,2012-09-08,45,relationship,1,62882,1338,20,2,2015-01-01,845
740,2013-03-23,61,Single,1,64108,1099,30,4,2015-01-01,649
741,2013-06-03,58,relationship,2,34941,97,8,2,2015-01-01,577
742,2014-01-01,64,Single,3,48767,63,9,3,2015-01-01,365
743,2013-01-08,36,relationship,1,38702,109,9,2,2015-01-01,723
744,2014-01-25,50,relationship,0,82224,902,21,1,2015-01-01,341
745,2013-12-05,62,relationship,0,83844,1574,20,1,2015-01-01,392
746,2013-09-12,39,relationship,1,17003,38,9,3,2015-01-01,476
747,2014-09-03,19,Single,0,71163,960,24,1,2015-01-01,120
748,2013-09-15,44,Single,1,33697,28,4,1,2015-01-01,473
749,2014-01-29,60,relationship,0,63564,1215,28,1,2015-01-01,337
750,2013-12-31,42,relationship,0,83443,1497,22,1,2015-01-01,366
751,2013-03-10,56,relationship,1,51518,449,17,2,2015-01-01,662
752,2013-12-25,39,Single,1,58330,1064,24,1,2015-01-01,372
753,2013-02-28,45,relationship,0,80952,1757,25,1,2015-01-01,672
754,2014-02-05,35,relationship,0,75507,1440,21,1,2015-01-01,330
755,2013-09-02,36,relationship,0,63855,1006,24,1,2015-01-01,486
756,2012-11-08,42,relationship,1,62220,1226,23,5,2015-01-01,784
757,2013-09-19,50,relationship,1,58512,1171,20,5,2015-01-01,469
758,2013-03-15,35,relationship,1,40662,92,8,2,2015-01-01,657
759,2014-06-04,55,relationship,1,38829,99,8,1,2015-01-01,211
760,2013-03-10,33,relationship,1,35523,66,8,2,2015-01-01,662
761,2014-04-24,47,Single,2,79146,564,19,2,2015-01-01,252
762,2013-10-28,26,relationship,0,78285,1427,21,1,2015-01-01,430
763,2013-10-05,36,Single,1,31626,86,6,1,2015-01-01,453
764,2014-05-22,62,Single,0,75127,833,19,1,2015-01-01,224
765,2013-04-27,59,relationship,1,48726,242,12,3,2015-01-01,614
766,2012-11-09,37,relationship,0,74985,1869,17,1,2015-01-01,783
767,2012-05-09,27,relationship,0,67430,1364,29,1,2015-01-01,967
768,2013-01-09,49,relationship,1,46891,183,8,1,2015-01-01,722
769,2013-05-26,58,relationship,1,62058,450,18,4,2015-01-01,585
770,2013-03-07,35,relationship,1,72063,758,21,2,2015-01-01,665
771,2013-12-12,63,relationship,0,78939,1507,20,1,2015-01-01,385
772,2013-04-24,49,Single,2,42720,654,25,8,2015-01-01,617
773,2013-04-13,42,relationship,2,33622,81,9,3,2015-01-01,628
774,2012-08-12,57,relationship,1,6835,137,1,0,2015-01-01,872
775,2013-06-03,61,relationship,2,41452,16,4,1,2015-01-01,577
776,2013-08-30,49,Single,1,40760,93,8,2,2015-01-01,489
777,2014-01-26,56,relationship,0,74250,1158,18,1,2015-01-01,340
778,2013-12-18,59,Single,2,51124,43,6,2,2015-01-01,379
779,2013-12-09,43,Single,1,72258,1525,22,2,2015-01-01,388
780,2014-05-04,40,Single,0,71466,1230,19,1,2015-01-01,242
781,2014-04-14,38,relationship,2,36283,29,6,2,2015-01-01,262
782,2014-11-05,44,Single,1,20587,25,5,1,2015-01-01,57
783,2014-03-19,42,relationship,1,30467,24,4,1,2015-01-01,288
784,2013-06-18,42,relationship,1,31590,38,5,1,2015-01-01,562
785,2012-10-29,28,relationship,1,20425,57,7,2,2015-01-01,794
786,2014-02-15,54,relationship,2,17144,47,12,5,2015-01-01,320
787,2013-02-01,46,Single,1,42564,813,24,6,2015-01-01,699
788,2014-05-29,36,relationship,1,43783,629,22,6,2015-01-01,217
789,2012-08-09,38,Single,1,40780,377,17,4,2015-01-01,875
790,2013-01-15,69,relationship,0,62847,1612,14,1,2015-01-01,716
791,2012-07-11,57,relationship,0,82017,729,17,1,2015-01-01,904
792,2013-07-19,64,Single,0,16813,50,6,1,2015-01-01,531
793,2013-10-29,36,relationship,2,51267,270,15,4,2015-01-01,429
794,2013-05-04,53,Single,1,46524,177,9,2,2015-01-01,607
795,2013-01-20,52,Single,0,45183,315,13,1,2015-01-01,711
796,2014-06-28,60,relationship,1,70421,767,23,3,2015-01-01,187
797,2012-10-23,49,Single,1,60161,1071,26,3,2015-01-01,800
798,2013-02-03,41,relationship,0,73926,1580,24,1,2015-01-01,697
799,2013-12-14,46,relationship,1,19329,60,10,3,2015-01-01,383
800,2013-12-13,44,relationship,1,61872,573,21,4,2015-01-01,384
801,2013-03-26,58,Single,2,46984,41,5,1,2015-01-01,646
802,2013-01-19,63,relationship,2,34838,170,10,3,2015-01-01,712
803,2013-05-11,70,Single,0,82716,1167,28,1,2015-01-01,600
804,2013-06-04,56,relationship,0,48192,1526,25,3,2015-01-01,576
805,2013-04-11,38,relationship,2,49681,458,21,6,2015-01-01,630
806,2014-03-23,43,relationship,1,56850,63,6,1,2015-01-01,284
807,2013-10-21,57,relationship,1,55267,405,17,4,2015-01-01,437
