Date,Country,Injuries/Casualties,Type,Description
12 November 2017,United Kingdom,1,Fall,A 20-year-old woman from New Zealand died on 14 November after she allegedly attempted to take a selfie near a second-storey window in London. She suffered a serious brain injury as a result of the fall.
25 December 2017,Mexico,1,Fall,"A 20-year-old woman from Aguascalientes (Mexico) died during a selfie session in the Malpaso Dam, a popular spot in the State of Aguascalientes. According to witnesses, she accessed a restricted zone to take the selfie before slipping and falling 15 meters, dying from severe craneoencephalic traumatism."
8 January 2018,Croatia,1,Electrocution,"In Zagreb, Croatia, 14-year-old boy climbed onto the roof of a train cargo wagon where he wanted to take a selfie. He was electrocuted and his body ""burned like a torch."" Firefighters were unable to take action until the train's power was turned off."
11 January 2018,Colombia,1,Fall,"In Gámbita, Santander, Colombia, a 19-year-old girl fell while trying to take a selfie at ""Manto de la Virgen"" falls."
24 January 2018,India,1,Transport,"A 22-year-old Indian man was struck by a train while recording a selfie video very close to some train tracks. His selfie video captured the entire incident, showing the man being struck after brazenly ignoring the train's horn. The video released went viral, However, some media are reporting that it was a hoax and that the man is still alive with no injuries."
9 February 2018,Thailand,2,Transport,"A 24-year-old Thai woman died as a result of her injuries when a train hit her while attempting to take a photo with an outgoing train in the background near Samsen train station in Bangkok's Phaya Thai District. A man, believed to be a colleague of the victim, was knocked unconscious by the train, suffering a head injury and a broken arm."
11 March 2018,United States,5,Drowned,"Five passengers aboard a sightseeing helicopter (with doors off) drowned after a passenger allegedly tried to take a 'shoe selfie', leading to the passenger's safety tether getting caught in the emergency fuel shutoff lever. A shoe selfie is when the person's shoes can be seen while looking out of the open doorway of a helicopter."
20 April 2018,Greece,1,Fall,"In Keratsini, Greece, a 16-year-old boy died after he fell from a height of 60 meters after climbing on a rock to take a selfie at a park."
22 April 2018,Brazil,3,Fall,"In Castelo do Piauí, Piauí, Brazil, A 22-year-old woman and two girls aged 16 and 15 fell from a height of 10 meters while taking a selfie on a bridge in Piauí, Northeast Brazil, when the platform on the side of the bridge collapsed. They suffered fractures."
30 April 2018,Brazil,1,Fall,"At Corumbá Lake in Caldas Novas, a 34-year-old man ended up drowning, after falling off a platform in an attempt to take a selfie."
2 May 2018,India,1,Animal,"In Nabarangpur, Odisha, India, a man tried to take a selfie with a wounded bear and was mauled to death."
11 June 2018,Indonesia,1,Fall,"A 46-year-old Chinese tourist died after falling into the sea while taking a selfie on a cliff at Devil's Tears on Nusa Lembongan, an island off the coast of Bali."
12 June 2018,Portugal,2,Fall,"On the Praia dos Pescadores, Ericeira, Portugal, an Australian couple fell to their deaths when they tried to take a selfie on a 30-meter-high (98 ft) wall."
22 July 2018,Australia,1,Fall,"A 19-year-old man from West Haven, Utah, fell at Cape Solander in Kurnell near Sydney, Australia."
5 September 2018,United States,1,Fall,An Israeli teen fell to his death while trying to take a selfie at Yosemite National Park.
19 September 2018,United States,1,Fall,A Californian woman fell to her death while taking selfies on the edge of a 200-foot cliff over Lake Superior at Pictured Rocks National Lakeshore.
12 October 2018,Panama,1,Fall,A Portuguese woman fell to her death while taking a selfie on the 27th floor balcony of a Panamanian residential building.
25 October 2018,United States,2,Fall,An Indian couple fell to their deaths from Taft Point at Yosemite National Park.
12 November 2018,Sri Lanka,1,Fall,"A German tourist died after stumbling off a precipitous cliff in Sri Lanka while taking a photo of herself. The 35-year-old woman was taking pictures with her friend when she fell off the World's End, a sheer cliff about 4,000 feet (1,200 meters) high. The Sri Lankan army and volunteers recovered the body after a six-hour search involving air support and climbing. World's End is located in Horton Plains National Park in central Sri Lanka and is one of the Indian Ocean island's biggest tourist attractions."
4 January 2019,Ireland,1,Fall,"A young Indian man died after falling off the Cliffs of Moher, County Clare, while taking a photo of himself."
10 January 2019,Colombia,1,Fall,"A 32-year-old man died after fall down in a waterfall in Sucre (Cauca), while he attempted to take a photo of himself."
9 March 2019,United States,1,Animal,"A woman was mauled by a jaguar in Arizona after entering a zoo enclosure to take a selfie. She received non-life-threatening injuries, including a large gash on her arm.Note: Although widely reported as a selfie incident, the victim claimed in a later CBS News interview that she was not taking a selfie, and did not enter the zoo enclosure—she only reached across a below-waist-height concrete planter in front of a much higher fenced enclosure—misleadingly termed ""climbing"" or ""crossing"" a barrier."
April 2019,Uganda,1,Drowned,"A person visiting Kalagala Falls leaned back to take a selfie, slipped on the wet ground, fell, and drowned."
24 April 2019,Germany,2,Drowned,"A 21-year-old man was swimming in the Gumpen waterfall pool. The waterfalls are hard to reach, but social media posts from recent years made them famous for a great view of the lake, the gushing waters, and people bathing in tiny natural pools. When the man was unable to free himself from the waterfall swirl, his friend of the same age jumped in to help him out of the 4–6 °C cold water. Both drowned."
4 July 2019,Spain,2,Fall,"Two men aged 20 and 25 from Somerset, England, died while reportedly taking a selfie on holiday in Spain. They were at Punta Prima Beach, near the town of Torrevieja."
14 July 2019,Italy,1,Fall,A 22-year-old man died after falling from a cliff with a waterfall.
15 July 2019,Pakistan,1,Fall,A college student fell into Kabul River in Nowshera district of Khyber Pakhtunkhwa while taking a selfie.
16 July 2019,Pakistan,2,Drowned,"A 17-year-old girl slipped while taking a selfie and fell into a river. Her father jumped into the river in an attempt to rescue her, but was also swept away by the flowing water."
17 August 2019,Australia,1,Fall,A 27-year-old woman died after falling from cliff at one of Sydney's most popular selfie spots.
3 September 2019,India,1,Fall,"Woman from Madhya Pradesh fell at least 200 feet to her death, while allegedly clicking a selfie on her way to a temple on a hilltop in Pavagadh hill station."
7 October 2019,India,4,Fall,"Wedding guests fall from a dam in India, four drown."
14 November 2019,Thailand,1,Fall,A 33-year-old died when they were on a waterfall and they attempted to take a selfie and they slipped and fell from the waterfall.
8 January 2020,Colombia,1,Fall,"A 29-year-old woman died after falling 10m down in a waterfall in Sucre, Cauca. According to eyewitness, the woman was attempting to take a selfie, ignoring the written warnings about risk of falling. A year before, a man died in the same place under similar circumstances."
12 January 2020,Australia,1,Fall,"A 21-year-old woman from Lincoln, England, fell from a 98-foot-high cliff in Diamond Bay Reserve in Sydney, Australia. According to police, the woman accompanied by seven friends, climbed a fence to sit on the edge of the cliff and take selfies. The Diamond Bay Reserve is known as a tourist attraction."
30 April 2020,Turkey,1,Fall,"A 31-year-old resident from Kazakhstan fell from a 115-foot-high cliff trying to take a selfie with a waterfall in the picture to celebrate the lifting of the COVID-19 lockdown of the city. Duden Park in Antalya, Turkey, is a known popular destination for tourists."
12 December 2020,Australia,1,Fall,"A 38-year-old woman from North Victoria fell 80 meters and died on scene at The Grampians in Victoria at a popular tourist photo spot. According to local authorities, she jumped over a safety barrier and tripped off the cliff edge."
12 January 2021,Slovenia,1,Transport,"A fatal accident in Maribor, Slovenia occurred when two minors were taking selfies in front of an oncoming train between two tracks. One was killed and the other was hospitalized from shock. Both were photographed between the tracks next to the railway platform in front of a train coming from the direction of Ljubljana at high speed."
16 May 2021,Indonesia,9,Drowned,"A boat overloaded with 20 people in a reservoir in Central Java capsized when the passengers all suddenly moved to one side of the vessel, which was helmed by a 13-year-old, to take a group selfie. Nine of the passengers drowned, including two children."
10 July 2021,Hong Kong,1,Fall,"32-year-old influencer Sofia Cheung died after slipping and falling 5 meters in the nature park Ha Pak Lai, while she was taking a selfie with friends at the edge of a waterfall. Her Instagram account featured photos of her outdoor adventures, including scaling cliffs and mountaintops."
11 July 2021,India,11,Electrocution,"Eleven people died in the Indian state of Rajasthan after being struck by lightning near a watchtower at the Amer Fort. According to police, some of the victims were taking selfies near the tower."
28 July 2021,Italy,1,Fall,"A 22-year-old YouTuber from Denmark died after falling 200 meters from Forcella di Pana, Italy while he was recording for his channel."
6 August 2021,Hungary,1,Fall,A 19-year-old Dutch citizen died after falling from the Liberty Bridge. It was reported that he climbed the bridge to take a selfie.
